case_id,benchmark_id,family,mode,coeff,maxdim,threshold_label,library,dimension,interval_index,birth,death,birth_hex,death_hex
tfim_pbc_n6_g1p00__quantized__p2__h2__selected,tfim_pbc_n6_g1p00__quantized,A,quantized,2,2,selected,gudhi,0,0,0.0,1.857421875,0x0.0p+0,0x1.db80000000000p+0
tfim_pbc_n6_g1p00__quantized__p2__h2__selected,tfim_pbc_n6_g1p00__quantized,A,quantized,2,2,selected,gudhi,0,1,0.0,1.857421875,0x0.0p+0,0x1.db80000000000p+0
tfim_pbc_n6_g1p00__quantized__p2__h2__selected,tfim_pbc_n6_g1p00__quantized,A,quantized,2,2,selected,gudhi,0,2,0.0,1.857421875,0x0.0p+0,0x1.db80000000000p+0
tfim_pbc_n6_g1p00__quantized__p2__h2__selected,tfim_pbc_n6_g1p00__quantized,A,quantized,2,2,selected,gudhi,0,3,0.0,1.857421875,0x0.0p+0,0x1.db80000000000p+0
tfim_pbc_n6_g1p00__quantized__p2__h2__selected,tfim_pbc_n6_g1p00__quantized,A,quantized,2,2,selected,gudhi,0,4,0.0,1.857421875,0x0.0p+0,0x1.db80000000000p+0
tfim_pbc_n6_g1p00__quantized__p2__h2__selected,tfim_pbc_n6_g1p00__quantized,A,quantized,2,2,selected,gudhi,0,5,0.0,inf,0x0.0p+0,inf
tfim_pbc_n6_g1p00__quantized__p2__h2__selected,tfim_pbc_n6_g1p00__quantized,A,quantized,2,2,selected,gudhi,1,0,2.498046875,2.498046875,0x1.3fc0000000000p+1,0x1.3fc0000000000p+1
tfim_pbc_n6_g1p00__quantized__p2__h2__selected,tfim_pbc_n6_g1p00__quantized,A,quantized,2,2,selected,gudhi,1,1,2.498046875,2.498046875,0x1.3fc0000000000p+1,0x1.3fc0000000000p+1
tfim_pbc_n6_g1p00__quantized__p2__h2__selected,tfim_pbc_n6_g1p00__quantized,A,quantized,2,2,selected,gudhi,1,2,2.498046875,2.498046875,0x1.3fc0000000000p+1,0x1.3fc0000000000p+1
tfim_pbc_n6_g1p00__quantized__p2__h2__selected,tfim_pbc_n6_g1p00__quantized,A,quantized,2,2,selected,gudhi,1,3,2.498046875,2.498046875,0x1.3fc0000000000p+1,0x1.3fc0000000000p+1
tfim_pbc_n6_g1p00__quantized__p2__h2__selected,tfim_pbc_n6_g1p00__quantized,A,quantized,2,2,selected,gudhi,1,4,2.498046875,2.498046875,0x1.3fc0000000000p+1,0x1.3fc0000000000p+1
tfim_pbc_n6_g1p00__quantized__p2__h2__selected,tfim_pbc_n6_g1p00__quantized,A,quantized,2,2,selected,gudhi,1,5,2.498046875,2.498046875,0x1.3fc0000000000p+1,0x1.3fc0000000000p+1
tfim_pbc_n6_g1p00__quantized__p2__h2__selected,tfim_pbc_n6_g1p00__quantized,A,quantized,2,2,selected,gudhi,1,6,1.857421875,2.498046875,0x1.db80000000000p+0,0x1.3fc0000000000p+1
tfim_pbc_n6_g1p00__quantized__p2__h2__selected,tfim_pbc_n6_g1p00__quantized,A,quantized,2,2,selected,gudhi,2,0,2.498046875,inf,0x1.3fc0000000000p+1,inf
tfim_pbc_n6_g1p00__quantized__p2__h2__selected,tfim_pbc_n6_g1p00__quantized,A,quantized,2,2,selected,ripser,0,0,0.0,1.857421875,0x0.0p+0,0x1.db80000000000p+0
tfim_pbc_n6_g1p00__quantized__p2__h2__selected,tfim_pbc_n6_g1p00__quantized,A,quantized,2,2,selected,ripser,0,1,0.0,1.857421875,0x0.0p+0,0x1.db80000000000p+0
tfim_pbc_n6_g1p00__quantized__p2__h2__selected,tfim_pbc_n6_g1p00__quantized,A,quantized,2,2,selected,ripser,0,2,0.0,1.857421875,0x0.0p+0,0x1.db80000000000p+0
